,Unnamed: 0,binomial,country,continent,genus,family,UUID,source,subset,class_id,image_path
0,347405,Opheodrys vernalis,Canada,North America,Opheodrys,Colubridae,78f83c0eb1fa491da35409eb0447a21b,inaturalist,val,496,/Datasets/SnakeCLEF-2021/inaturalist/78f83c0eb1fa491da35409eb0447a21b.jpg
1,347406,Pantherophis alleghaniensis,United States of America,North America,Pantherophis,Colubridae,1f9af4eb511846429c18c86d74e5449d,inaturalist,val,516,/Datasets/SnakeCLEF-2021/inaturalist/1f9af4eb511846429c18c86d74e5449d.jpg
2,347407,Nerodia erythrogaster,United States of America,North America,Nerodia,Colubridae,185183840aac4f969f54a4467fc9ede2,inaturalist,val,475,/Datasets/SnakeCLEF-2021/inaturalist/185183840aac4f969f54a4467fc9ede2.jpg
3,347408,Thamnophis proximus,United States of America,North America,Thamnophis,Colubridae,ce489a671aa94aa9a69f2003e8c8a7f5,inaturalist,val,699,/Datasets/SnakeCLEF-2021/inaturalist/ce489a671aa94aa9a69f2003e8c8a7f5.jpg
4,347409,Lichanura trivirgata,United States of America,North America,Lichanura,Boidae,a9c55476a93d4650874dacf50d4b7ab4,herpmapper,val,389,/Datasets/SnakeCLEF-2021/herpmapper/a9c55476a93d4650874dacf50d4b7ab4.jpg
5,347410,Crotalus aquilus,Mexico,North America,Crotalus,Viperidae,a15e2a51a63c41ff93a05290d89604d5,inaturalist,val,164,/Datasets/SnakeCLEF-2021/inaturalist/a15e2a51a63c41ff93a05290d89604d5.jpg
6,347411,Crotalus atrox,United States of America,North America,Crotalus,Viperidae,edf82b7b3fa34038b0631a1fa53bb9e4,inaturalist,val,165,/Datasets/SnakeCLEF-2021/inaturalist/edf82b7b3fa34038b0631a1fa53bb9e4.jpg
7,347412,Charina bottae,United States of America,North America,Charina,Boidae,b2dc7bc608584fcaaf3ef258e65f2b70,inaturalist,val,122,/Datasets/SnakeCLEF-2021/inaturalist/b2dc7bc608584fcaaf3ef258e65f2b70.jpg
8,347413,Chrysopelea ornata,Thailand,Asia,Chrysopelea,Colubridae,340c02e294ee4be49e902f26bf1267ca,flickr,val,135,/Datasets/SnakeCLEF-2021/flickr/340c02e294ee4be49e902f26bf1267ca.jpg
9,347414,Daboia russelii,India,Asia,Daboia,Viperidae,87f940d99ba54ec19f07b6cc85308de6,herpmapper,val,203,/Datasets/SnakeCLEF-2021/herpmapper/87f940d99ba54ec19f07b6cc85308de6.jpg
10,347415,Thamnophis sirtalis,United States of America,North America,Thamnophis,Colubridae,1304e7a7dd8a42588473da4b2936c88b,herpmapper,val,706,/Datasets/SnakeCLEF-2021/herpmapper/1304e7a7dd8a42588473da4b2936c88b.jpg
11,347416,Regina septemvittata,United States of America,North America,Regina,Colubridae,c7c70740cb024592985a2d941902aaeb,herpmapper,val,609,/Datasets/SnakeCLEF-2021/herpmapper/c7c70740cb024592985a2d941902aaeb.jpg
12,347417,Pantherophis obsoletus,unknown,unknown,Pantherophis,Colubridae,cad2f75876104e94aaa3bf87c039f8a4,flickr,val,520,/Datasets/SnakeCLEF-2021/flickr/cad2f75876104e94aaa3bf87c039f8a4.jpg
13,347418,Charina bottae,United States of America,North America,Charina,Boidae,eeb12121abd04eb89d1e4cad20638aca,herpmapper,val,122,/Datasets/SnakeCLEF-2021/herpmapper/eeb12121abd04eb89d1e4cad20638aca.jpg
14,347419,Crotalus atrox,United States of America,North America,Crotalus,Viperidae,94c527b8155343cbad04434b390be3f2,inaturalist,val,165,/Datasets/SnakeCLEF-2021/inaturalist/94c527b8155343cbad04434b390be3f2.jpg
15,347420,Clonophis kirtlandii,United States of America,North America,Clonophis,Colubridae,5b86b0b4a2494f3c908b12e1bb73ec77,herpmapper,val,140,/Datasets/SnakeCLEF-2021/herpmapper/5b86b0b4a2494f3c908b12e1bb73ec77.jpg
16,347421,Lampropeltis calligaster,United States of America,North America,Lampropeltis,Colubridae,e246e930fdd9459b877660ab6b124bc5,herpmapper,val,348,/Datasets/SnakeCLEF-2021/herpmapper/e246e930fdd9459b877660ab6b124bc5.jpg
17,347422,Laticauda colubrina,unknown,unknown,Laticauda,Elapidae,4a193570c26c417bbb7ba47109f9efca,inaturalist,val,368,/Datasets/SnakeCLEF-2021/inaturalist/4a193570c26c417bbb7ba47109f9efca.jpg
18,347423,Thamnophis sirtalis,Canada,North America,Thamnophis,Colubridae,1fc629b07f8a4702858b6b817536a224,inaturalist,val,706,/Datasets/SnakeCLEF-2021/inaturalist/1fc629b07f8a4702858b6b817536a224.jpg
19,347424,Thamnophis sirtalis,United States of America,North America,Thamnophis,Colubridae,3821803a423e425096a88b191895a951,inaturalist,val,706,/Datasets/SnakeCLEF-2021/inaturalist/3821803a423e425096a88b191895a951.jpg
20,347425,Agkistrodon piscivorus,United States of America,North America,Agkistrodon,Viperidae,0ee21d35548248b694c5a825994fc2fb,inaturalist,val,20,/Datasets/SnakeCLEF-2021/inaturalist/0ee21d35548248b694c5a825994fc2fb.jpg
21,347426,Heterodon platirhinos,United States of America,North America,Heterodon,Colubridae,85c6b360f9314a479e42e95e2bb7ffea,inaturalist,val,320,/Datasets/SnakeCLEF-2021/inaturalist/85c6b360f9314a479e42e95e2bb7ffea.jpg
22,347427,Agkistrodon laticinctus,United States of America,North America,Agkistrodon,Viperidae,1ee7f73c896342e98df00d01114d0ffb,inaturalist,val,19,/Datasets/SnakeCLEF-2021/inaturalist/1ee7f73c896342e98df00d01114d0ffb.jpg
23,347428,Thamnophis sirtalis,United States of America,North America,Thamnophis,Colubridae,bc0a1ab6ade346439f5f89155186b649,inaturalist,val,706,/Datasets/SnakeCLEF-2021/inaturalist/bc0a1ab6ade346439f5f89155186b649.jpg
24,347429,Thamnophis elegans,unknown,unknown,Thamnophis,Colubridae,77b4d445637f4688ae2f9b797cc6c966,flickr,val,692,/Datasets/SnakeCLEF-2021/flickr/77b4d445637f4688ae2f9b797cc6c966.jpg
25,347430,Bothrops atrox,Trinidad and Tobago,South America,Bothrops,Viperidae,9ff2fe87facf4a64b5fdd9f9a84a269b,inaturalist,val,88,/Datasets/SnakeCLEF-2021/inaturalist/9ff2fe87facf4a64b5fdd9f9a84a269b.jpg
26,347431,Pantherophis alleghaniensis,United States of America,North America,Pantherophis,Colubridae,5460f24b90594bb4a665e1b56b4679ea,inaturalist,val,516,/Datasets/SnakeCLEF-2021/inaturalist/5460f24b90594bb4a665e1b56b4679ea.jpg
27,347432,Xenochrophis trianguligerus,India,Asia,Xenochrophis,Colubridae,fbabb3cae51e47b9afc68f15d7bf81bc,herpmapper,val,759,/Datasets/SnakeCLEF-2021/herpmapper/fbabb3cae51e47b9afc68f15d7bf81bc.jpg
28,347433,Thamnophis marcianus,United States of America,North America,Thamnophis,Colubridae,168bb2f3a54d4d67b0e07e7eccf439fa,inaturalist,val,696,/Datasets/SnakeCLEF-2021/inaturalist/168bb2f3a54d4d67b0e07e7eccf439fa.jpg
29,347434,Pseudechis australis,unknown,unknown,Pseudechis,Elapidae,09fb20446f304424866cdc3d0b613b88,flickr,val,576,/Datasets/SnakeCLEF-2021/flickr/09fb20446f304424866cdc3d0b613b88.jpg
30,347435,Pantherophis alleghaniensis,United States of America,North America,Pantherophis,Colubridae,04f528cf75134d638d12e8de4be6cb9e,inaturalist,val,516,/Datasets/SnakeCLEF-2021/inaturalist/04f528cf75134d638d12e8de4be6cb9e.jpg
31,347436,Storeria occipitomaculata,United States of America,North America,Storeria,Colubridae,1b71de3065c44c71902a24058369edca,inaturalist,val,663,/Datasets/SnakeCLEF-2021/inaturalist/1b71de3065c44c71902a24058369edca.jpg
32,347437,Bothriechis lateralis,Costa Rica,North America,Bothriechis,Viperidae,a6d999ae7b5a442fb105cfa8bcb48bcb,herpmapper,val,80,/Datasets/SnakeCLEF-2021/herpmapper/a6d999ae7b5a442fb105cfa8bcb48bcb.jpg
